feature,dtype,unique_count,missing_percentage,dtype_category
V44,float64,49,28.612625732380533,numeric
V45,float64,49,28.612625732380533,numeric
V46,float64,7,28.612625732380533,numeric
V47,float64,9,28.612625732380533,numeric
V48,float64,6,28.612625732380533,numeric
V49,float64,6,28.612625732380533,numeric
V50,float64,6,28.612625732380533,numeric
V51,float64,7,28.612625732380533,numeric
V52,float64,9,28.612625732380533,numeric
V53,float64,6,13.055169844549056,numeric
V54,float64,7,13.055169844549056,numeric
V55,float64,18,13.055169844549056,numeric
V56,float64,52,13.055169844549056,numeric
V57,float64,7,13.055169844549056,numeric
V58,float64,11,13.055169844549056,numeric
V59,float64,17,13.055169844549056,numeric
V60,float64,17,13.055169844549056,numeric
V61,float64,7,13.055169844549056,numeric
V62,float64,11,13.055169844549056,numeric
V63,float64,8,13.055169844549056,numeric
V64,float64,8,13.055169844549056,numeric
V65,float64,2,13.055169844549056,binary
V66,float64,8,13.055169844549056,numeric
V67,float64,9,13.055169844549056,numeric
V68,float64,3,13.055169844549056,numeric
V69,float64,6,13.055169844549056,numeric
V70,float64,7,13.055169844549056,numeric
V71,float64,7,13.055169844549056,numeric
V72,float64,11,13.055169844549056,numeric
V73,float64,8,13.055169844549056,numeric
V74,float64,9,13.055169844549056,numeric
V75,float64,5,15.098723202492634,numeric
V76,float64,7,15.098723202492634,numeric
V77,float64,31,15.098723202492634,numeric
V78,float64,32,15.098723202492634,numeric
V79,float64,8,15.098723202492634,numeric
V80,float64,20,15.098723202492634,numeric
V81,float64,20,15.098723202492634,numeric
V82,float64,8,15.098723202492634,numeric
V83,float64,8,15.098723202492634,numeric
V84,float64,8,15.098723202492634,numeric
V85,float64,8,15.098723202492634,numeric
V86,float64,31,15.098723202492634,numeric
V87,float64,31,15.098723202492634,numeric
V88,float64,2,15.098723202492634,binary
V89,float64,3,15.098723202492634,numeric
V90,float64,6,15.098723202492634,numeric
V91,float64,7,15.098723202492634,numeric
V92,float64,8,15.098723202492634,numeric
V93,float64,8,15.098723202492634,numeric
V94,float64,3,15.098723202492634,numeric
V95,float64,881,0.053171673383682734,numeric
V96,float64,1410,0.053171673383682734,numeric
V97,float64,976,0.053171673383682734,numeric
V98,float64,13,0.053171673383682734,numeric
V99,float64,89,0.053171673383682734,numeric
V100,float64,29,0.053171673383682734,numeric
V101,float64,870,0.053171673383682734,numeric
V102,float64,1285,0.053171673383682734,numeric
V103,float64,928,0.053171673383682734,numeric
V104,float64,16,0.053171673383682734,numeric
V105,float64,100,0.053171673383682734,numeric
V106,float64,56,0.053171673383682734,numeric
V107,float64,2,0.053171673383682734,binary
V108,float64,8,0.053171673383682734,numeric
V109,float64,8,0.053171673383682734,numeric
V110,float64,8,0.053171673383682734,numeric
V111,float64,10,0.053171673383682734,numeric
V112,float64,10,0.053171673383682734,numeric
V113,float64,10,0.053171673383682734,numeric
V114,float64,7,0.053171673383682734,numeric
V115,float64,7,0.053171673383682734,numeric
V116,float64,7,0.053171673383682734,numeric
V117,float64,4,0.053171673383682734,numeric
V118,float64,4,0.053171673383682734,numeric
V119,float64,4,0.053171673383682734,numeric
V120,float64,4,0.053171673383682734,numeric
V121,float64,4,0.053171673383682734,numeric
V122,float64,4,0.053171673383682734,numeric
V123,float64,14,0.053171673383682734,numeric
V124,float64,14,0.053171673383682734,numeric
V125,float64,14,0.053171673383682734,numeric
V126,float64,10299,0.053171673383682734,numeric
V127,float64,24414,0.053171673383682734,numeric
V128,float64,14507,0.053171673383682734,numeric
V129,float64,1968,0.053171673383682734,numeric
V130,float64,12332,0.053171673383682734,numeric
V131,float64,4444,0.053171673383682734,numeric
V132,float64,6560,0.053171673383682734,numeric
V133,float64,9949,0.053171673383682734,numeric
V134,float64,8178,0.053171673383682734,numeric
V135,float64,3724,0.053171673383682734,numeric
V136,float64,4852,0.053171673383682734,numeric
V137,float64,4252,0.053171673383682734,numeric
V138,float64,23,86.12371727571374,numeric
V139,float64,34,86.12371727571374,numeric
V140,float64,34,86.12371727571374,numeric
V141,float64,6,86.12371727571374,numeric
V142,float64,10,86.12371727571374,numeric
V143,float64,870,86.12270125647711,numeric
V144,float64,63,86.12270125647711,numeric
V145,float64,260,86.12270125647711,numeric
V146,float64,25,86.12371727571374,numeric
V147,float64,27,86.12371727571374,numeric
V148,float64,21,86.12371727571374,numeric
V149,float64,21,86.12371727571374,numeric
V150,float64,1996,86.12270125647711,numeric
V151,float64,56,86.12270125647711,numeric
V152,float64,39,86.12270125647711,numeric
V153,float64,19,86.12371727571374,numeric
V154,float64,19,86.12371727571374,numeric
V155,float64,25,86.12371727571374,numeric
V156,float64,25,86.12371727571374,numeric
V157,float64,25,86.12371727571374,numeric
V158,float64,25,86.12371727571374,numeric
V159,float64,6663,86.12270125647711,numeric
V160,float64,9621,86.12270125647711,numeric
V161,float64,79,86.12371727571374,numeric
V162,float64,185,86.12371727571374,numeric
V163,float64,106,86.12371727571374,numeric
V164,float64,1978,86.12270125647711,numeric
V165,float64,2547,86.12270125647711,numeric
V166,float64,987,86.12270125647711,numeric
V167,float64,873,76.35536966166559,numeric
V168,float64,965,76.35536966166559,numeric
V169,float64,20,76.32353439225116,numeric
V170,float64,49,76.32353439225116,numeric
V171,float64,62,76.32353439225116,numeric
V172,float64,32,76.35536966166559,numeric
V173,float64,8,76.35536966166559,numeric
V174,float64,9,76.32353439225116,numeric
V175,float64,15,76.32353439225116,numeric
V176,float64,49,76.35536966166559,numeric
V177,float64,862,76.35536966166559,numeric
V178,float64,1236,76.35536966166559,numeric
V179,float64,921,76.35536966166559,numeric
V180,float64,84,76.32353439225116,numeric
V181,float64,25,76.35536966166559,numeric
V182,float64,84,76.35536966166559,numeric
V183,float64,42,76.35536966166559,numeric
V184,float64,17,76.32353439225116,numeric
V185,float64,32,76.32353439225116,numeric
V186,float64,39,76.35536966166559,numeric
V187,float64,215,76.35536966166559,numeric
V188,float64,31,76.32353439225116,numeric
V189,float64,31,76.32353439225116,numeric
V190,float64,43,76.35536966166559,numeric
V191,float64,22,76.35536966166559,numeric
V192,float64,45,76.35536966166559,numeric
V193,float64,38,76.35536966166559,numeric
V194,float64,8,76.32353439225116,numeric
V195,float64,17,76.32353439225116,numeric
V196,float64,39,76.35536966166559,numeric
V197,float64,15,76.32353439225116,numeric
V198,float64,22,76.32353439225116,numeric
V199,float64,46,76.35536966166559,numeric
V200,float64,46,76.32353439225116,numeric
V201,float64,56,76.32353439225116,numeric
V202,float64,10970,76.35536966166559,numeric
V203,float64,14951,76.35536966166559,numeric
V204,float64,12858,76.35536966166559,numeric
V205,float64,2240,76.35536966166559,numeric
V206,float64,1780,76.35536966166559,numeric
V207,float64,3246,76.35536966166559,numeric
V208,float64,2552,76.32353439225116,numeric
V209,float64,3451,76.32353439225116,numeric
V210,float64,2836,76.32353439225116,numeric
V211,float64,7624,76.35536966166559,numeric
V212,float64,8868,76.35536966166559,numeric
V213,float64,8317,76.35536966166559,numeric
V214,float64,2282,76.35536966166559,numeric
V215,float64,2747,76.35536966166559,numeric
V216,float64,2532,76.35536966166559,numeric
V217,float64,304,77.91343516103905,numeric
V218,float64,401,77.91343516103905,numeric
V219,float64,379,77.91343516103905,numeric
V220,float64,26,76.0531039387679,numeric
V221,float64,77,76.0531039387679,numeric
V222,float64,76,76.0531039387679,numeric
V223,float64,17,77.91343516103905,numeric
V224,float64,79,77.91343516103905,numeric
V225,float64,35,77.91343516103905,numeric
V226,float64,81,77.91343516103905,numeric
V227,float64,50,76.0531039387679,numeric
V228,float64,55,77.91343516103905,numeric
V229,float64,91,77.91343516103905,numeric
V230,float64,66,77.91343516103905,numeric
V231,float64,294,77.91343516103905,numeric
V232,float64,338,77.91343516103905,numeric
V233,float64,333,77.91343516103905,numeric
V234,float64,122,76.0531039387679,numeric
V235,float64,24,77.91343516103905,numeric
V236,float64,46,77.91343516103905,numeric
V237,float64,40,77.91343516103905,numeric
V238,float64,24,76.0531039387679,numeric
V239,float64,24,76.0531039387679,numeric
V240,float64,6,77.91343516103905,numeric
V241,float64,5,77.91343516103905,numeric
V242,float64,21,77.91343516103905,numeric
V243,float64,43,77.91343516103905,numeric
V244,float64,23,77.91343516103905,numeric
V245,float64,58,76.0531039387679,numeric
V246,float64,46,77.91343516103905,numeric
V247,float64,19,77.91343516103905,numeric
V248,float64,23,77.91343516103905,numeric
V249,float64,23,77.91343516103905,numeric
V250,float64,19,76.0531039387679,numeric
V251,float64,19,76.0531039387679,numeric
V252,float64,25,77.91343516103905,numeric
V253,float64,66,77.91343516103905,numeric
V254,float64,45,77.91343516103905,numeric
V255,float64,46,76.0531039387679,numeric
V256,float64,48,76.0531039387679,numeric
V257,float64,49,77.91343516103905,numeric
V258,float64,67,77.91343516103905,numeric
V259,float64,68,76.0531039387679,numeric
V260,float64,9,77.91343516103905,numeric
V261,float64,41,77.91343516103905,numeric
V262,float64,21,77.91343516103905,numeric
V263,float64,10422,77.91343516103905,numeric
V264,float64,13358,77.91343516103905,numeric
V265,float64,11757,77.91343516103905,numeric
V266,float64,2178,77.91343516103905,numeric
V267,float64,3616,77.91343516103905,numeric
V268,float64,2756,77.91343516103905,numeric
V269,float64,151,77.91343516103905,numeric
V270,float64,2340,76.0531039387679,numeric
V271,float64,2787,76.0531039387679,numeric
V272,float64,2507,76.0531039387679,numeric
V273,float64,7177,77.91343516103905,numeric
V274,float64,8315,77.91343516103905,numeric
V275,float64,7776,77.91343516103905,numeric
V276,float64,2263,77.91343516103905,numeric
V277,float64,2540,77.91343516103905,numeric
V278,float64,2398,77.91343516103905,numeric
V279,float64,881,0.0020320384732617604,numeric
V280,float64,975,0.0020320384732617604,numeric
V281,float64,23,0.21488806854743114,numeric
V282,float64,33,0.21488806854743114,numeric
V283,float64,62,0.21488806854743114,numeric
V284,float64,13,0.0020320384732617604,numeric
V285,float64,96,0.0020320384732617604,numeric
V286,float64,9,0.0020320384732617604,numeric
V287,float64,32,0.0020320384732617604,numeric
V288,float64,11,0.21488806854743114,numeric
V289,float64,13,0.21488806854743114,numeric
V290,float64,58,0.0020320384732617604,numeric
V291,float64,219,0.0020320384732617604,numeric
V292,float64,173,0.0020320384732617604,numeric
V293,float64,870,0.0020320384732617604,numeric
V294,float64,1286,0.0020320384732617604,numeric
V295,float64,928,0.0020320384732617604,numeric
V296,float64,94,0.21488806854743114,numeric
V297,float64,13,0.0020320384732617604,numeric
V298,float64,94,0.0020320384732617604,numeric
V299,float64,50,0.0020320384732617604,numeric
V300,float64,12,0.21488806854743114,numeric
V301,float64,14,0.21488806854743114,numeric
V302,float64,17,0.0020320384732617604,numeric
V303,float64,21,0.0020320384732617604,numeric
V304,float64,17,0.0020320384732617604,numeric
V305,float64,2,0.0020320384732617604,binary
V306,float64,16210,0.0020320384732617604,numeric
V307,float64,37367,0.0020320384732617604,numeric
V308,float64,23064,0.0020320384732617604,numeric
V309,float64,4236,0.0020320384732617604,numeric
V310,float64,19136,0.0020320384732617604,numeric
V311,float64,3098,0.0020320384732617604,numeric
V312,float64,8068,0.0020320384732617604,numeric
V313,float64,5529,0.21488806854743114,numeric
V314,float64,11377,0.21488806854743114,numeric
V315,float64,6973,0.21488806854743114,numeric
V316,float64,9814,0.0020320384732617604,numeric
V317,float64,15184,0.0020320384732617604,numeric
V318,float64,12309,0.0020320384732617604,numeric
V319,float64,4799,0.0020320384732617604,numeric
V320,float64,6439,0.0020320384732617604,numeric
V321,float64,5560,0.0020320384732617604,numeric
V322,float64,881,86.05496664070174,numeric
V323,float64,1411,86.05496664070174,numeric
V324,float64,976,86.05496664070174,numeric
V325,float64,13,86.05496664070174,numeric
V326,float64,45,86.05496664070174,numeric
V327,float64,19,86.05496664070174,numeric
V328,float64,16,86.05496664070174,numeric
V329,float64,100,86.05496664070174,numeric
V330,float64,56,86.05496664070174,numeric
V331,float64,1758,86.05496664070174,numeric
V332,float64,2453,86.05496664070174,numeric
V333,float64,1971,86.05496664070174,numeric
V334,float64,143,86.05496664070174,numeric
V335,float64,672,86.05496664070174,numeric
V336,float64,356,86.05496664070174,numeric
V337,float64,254,86.05496664070174,numeric
V338,float64,380,86.05496664070174,numeric
V339,float64,334,86.05496664070174,numeric
id_01,float64,77,75.5760829071697,numeric
id_02,float64,115655,76.14522301622245,numeric
id_03,float64,24,88.76892335828225,numeric
id_04,float64,15,88.76892335828225,numeric
id_05,float64,93,76.82375452975243,numeric
id_06,float64,101,76.82375452975243,numeric
id_07,float64,84,99.12707013919464,numeric
id_08,float64,94,99.12707013919464,numeric
id_09,float64,46,87.31229044603245,numeric
id_10,float64,62,87.31229044603245,numeric
id_11,float64,365,76.12727334304196,numeric
id_12,str,2,75.5760829071697,unknown
id_13,float64,54,78.44007179869273,numeric
id_14,float64,25,86.4456260371863,numeric
id_15,str,3,76.12608798726589,unknown
id_16,str,2,78.098011989027,unknown
id_17,float64,104,76.39973583499847,numeric
id_18,float64,18,92.36072069631184,numeric
id_19,float64,522,76.40837199850984,numeric
id_20,float64,394,76.41802418125782,numeric
id_21,float64,490,99.12639279303687,numeric
id_22,float64,25,99.1246994276425,numeric
id_23,str,3,99.1246994276425,unknown
id_24,float64,12,99.19615944728554,numeric
id_25,float64,341,99.13096487960172,numeric
id_26,float64,95,99.12571544687913,numeric
id_27,str,2,99.1246994276425,unknown
id_28,str,2,76.12727334304196,unknown
id_29,str,2,76.12727334304196,unknown
id_30,str,75,86.8654113184543,unknown
id_31,str,130,76.24513157449114,unknown
id_32,float64,4,86.86185525112609,numeric
id_33,str,260,87.58949436109323,unknown
id_34,str,4,86.82477054898906,unknown
id_35,str,2,76.12608798726589,unknown
id_36,str,2,76.12608798726589,unknown
id_37,str,2,76.12608798726589,unknown
id_38,str,2,76.12608798726589,unknown
DeviceType,str,2,76.15572188166763,unknown
DeviceInfo,str,1786,79.90551021099333,unknown
