feature,dtype,unique_count,unique_ratio,category
V292,float64,173,0.00029295221322857046,RARE
V269,float64,151,0.00025569817455210487,RARE
V334,float64,143,0.00024215125139702645,RARE
id_31,str,130,0.00022013750127002405,RARE
V234,float64,122,0.00020659057811494563,RARE
card5,float64,119,0.00020151048193179125,RARE
card3,float64,114,0.00019304365495986724,RARE
V163,float64,106,0.00017949673180478885,RARE
id_17,float64,104,0.00017611000101601924,RARE
id_06,float64,101,0.00017102990483286484,RARE
V105,float64,100,0.00016933653943848004,RARE
V329,float64,100,0.00016933653943848004,RARE
V285,float64,96,0.00016256307786094082,RARE
id_26,float64,95,0.00016086971246655603,RARE
V296,float64,94,0.00015917634707217124,RARE
id_08,float64,94,0.00015917634707217124,RARE
V298,float64,94,0.00015917634707217124,RARE
id_05,float64,93,0.00015748298167778644,RARE
V229,float64,91,0.00015409625088901683,RARE
V99,float64,89,0.00015070952010024722,RARE
V182,float64,84,0.00014224269312832324,RARE
V180,float64,84,0.00014224269312832324,RARE
id_07,float64,84,0.00014224269312832324,RARE
V226,float64,81,0.00013716259694516883,RARE
V224,float64,79,0.00013377586615639922,RARE
V161,float64,79,0.00013377586615639922,RARE
id_01,float64,77,0.00013038913536762964,RARE
V221,float64,77,0.00013038913536762964,RARE
V222,float64,76,0.00012869576997324482,RARE
id_30,str,75,0.00012700240457886003,RARE
addr2,float64,74,0.00012530903918447523,RARE
V259,float64,68,0.00011514884681816643,RARE
V258,float64,67,0.00011345548142378162,RARE
V253,float64,66,0.00011176211602939683,RARE
V230,float64,66,0.00011176211602939683,RARE
V144,float64,63,0.00010668201984624243,RARE
V171,float64,62,0.00010498865445185762,RARE
V283,float64,62,0.00010498865445185762,RARE
id_10,float64,62,0.00010498865445185762,RARE
R_emaildomain,str,60,0.00010160192366308802,RARE
P_emaildomain,str,59,9.990855826870322e-05,RARE
V245,float64,58,9.821519287431843e-05,RARE
V290,float64,58,9.821519287431843e-05,RARE
V330,float64,56,9.482846208554881e-05,RARE
V106,float64,56,9.482846208554881e-05,RARE
V151,float64,56,9.482846208554881e-05,RARE
V201,float64,56,9.482846208554881e-05,RARE
V228,float64,55,9.313509669116402e-05,RARE
V37,float64,55,9.313509669116402e-05,RARE
V38,float64,55,9.313509669116402e-05,RARE
id_13,float64,54,9.144173129677922e-05,RARE
V56,float64,52,8.805500050800962e-05,RARE
V299,float64,50,8.466826971924002e-05,RARE
V227,float64,50,8.466826971924002e-05,RARE
V170,float64,49,8.297490432485522e-05,RARE
V257,float64,49,8.297490432485522e-05,RARE
V44,float64,49,8.297490432485522e-05,RARE
V45,float64,49,8.297490432485522e-05,RARE
V176,float64,49,8.297490432485522e-05,RARE
V256,float64,48,8.128153893047041e-05,RARE
V200,float64,46,7.789480814170081e-05,RARE
V199,float64,46,7.789480814170081e-05,RARE
id_09,float64,46,7.789480814170081e-05,RARE
V236,float64,46,7.789480814170081e-05,RARE
V255,float64,46,7.789480814170081e-05,RARE
V246,float64,46,7.789480814170081e-05,RARE
V326,float64,45,7.620144274731602e-05,RARE
V192,float64,45,7.620144274731602e-05,RARE
V254,float64,45,7.620144274731602e-05,RARE
V243,float64,43,7.281471195854641e-05,RARE
V190,float64,43,7.281471195854641e-05,RARE
V183,float64,42,7.112134656416162e-05,RARE
V261,float64,41,6.942798116977681e-05,RARE
V237,float64,40,6.773461577539202e-05,RARE
V152,float64,39,6.604125038100721e-05,RARE
V186,float64,39,6.604125038100721e-05,RARE
V196,float64,39,6.604125038100721e-05,RARE
V193,float64,38,6.434788498662241e-05,RARE
V225,float64,35,5.926778880346801e-05,RARE
V140,float64,34,5.7574423409083214e-05,RARE
V139,float64,34,5.7574423409083214e-05,RARE
V282,float64,33,5.5881058014698415e-05,RARE
V78,float64,32,5.418769262031361e-05,RARE
V172,float64,32,5.418769262031361e-05,RARE
V185,float64,32,5.418769262031361e-05,RARE
V287,float64,32,5.418769262031361e-05,RARE
V77,float64,31,5.249432722592881e-05,RARE
V189,float64,31,5.249432722592881e-05,RARE
V86,float64,31,5.249432722592881e-05,RARE
V87,float64,31,5.249432722592881e-05,RARE
V188,float64,31,5.249432722592881e-05,RARE
V100,float64,29,4.910759643715921e-05,RARE
V147,float64,27,4.572086564838961e-05,RARE
C3,float64,27,4.572086564838961e-05,RARE
V220,float64,26,4.402750025400481e-05,RARE
V146,float64,25,4.233413485962001e-05,RARE
V158,float64,25,4.233413485962001e-05,RARE
V157,float64,25,4.233413485962001e-05,RARE
id_14,float64,25,4.233413485962001e-05,RARE
id_22,float64,25,4.233413485962001e-05,RARE
V252,float64,25,4.233413485962001e-05,RARE
V181,float64,25,4.233413485962001e-05,RARE
V156,float64,25,4.233413485962001e-05,RARE
V155,float64,25,4.233413485962001e-05,RARE
id_03,float64,24,4.0640769465235205e-05,RARE
V239,float64,24,4.0640769465235205e-05,RARE
D9,float64,24,4.0640769465235205e-05,RARE
V238,float64,24,4.0640769465235205e-05,RARE
V235,float64,24,4.0640769465235205e-05,RARE
V248,float64,23,3.8947404070850406e-05,RARE
V138,float64,23,3.8947404070850406e-05,RARE
V244,float64,23,3.8947404070850406e-05,RARE
V281,float64,23,3.8947404070850406e-05,RARE
V249,float64,23,3.8947404070850406e-05,RARE
V191,float64,22,3.725403867646561e-05,RARE
V198,float64,22,3.725403867646561e-05,RARE
V242,float64,21,3.556067328208081e-05,RARE
V149,float64,21,3.556067328208081e-05,RARE
V148,float64,21,3.556067328208081e-05,RARE
V303,float64,21,3.556067328208081e-05,RARE
V262,float64,21,3.556067328208081e-05,RARE
V169,float64,20,3.386730788769601e-05,RARE
V81,float64,20,3.386730788769601e-05,RARE
V80,float64,20,3.386730788769601e-05,RARE
V153,float64,19,3.2173942493311204e-05,RARE
V250,float64,19,3.2173942493311204e-05,RARE
V251,float64,19,3.2173942493311204e-05,RARE
V154,float64,19,3.2173942493311204e-05,RARE
V327,float64,19,3.2173942493311204e-05,RARE
V247,float64,19,3.2173942493311204e-05,RARE
V40,float64,18,3.0480577098926406e-05,RARE
V55,float64,18,3.0480577098926406e-05,RARE
id_18,float64,18,3.0480577098926406e-05,RARE
V302,float64,17,2.8787211704541607e-05,RARE
V304,float64,17,2.8787211704541607e-05,RARE
V59,float64,17,2.8787211704541607e-05,RARE
V184,float64,17,2.8787211704541607e-05,RARE
V223,float64,17,2.8787211704541607e-05,RARE
V60,float64,17,2.8787211704541607e-05,RARE
V195,float64,17,2.8787211704541607e-05,RARE
V17,float64,16,2.7093846310156805e-05,RARE
V328,float64,16,2.7093846310156805e-05,RARE
V39,float64,16,2.7093846310156805e-05,RARE
V104,float64,16,2.7093846310156805e-05,RARE
V18,float64,16,2.7093846310156805e-05,RARE
V175,float64,15,2.5400480915772006e-05,RARE
id_04,float64,15,2.5400480915772006e-05,RARE
V20,float64,15,2.5400480915772006e-05,RARE
V197,float64,15,2.5400480915772006e-05,RARE
V32,float64,15,2.5400480915772006e-05,RARE
V16,float64,15,2.5400480915772006e-05,RARE
V301,float64,14,2.3707115521387204e-05,RARE
V123,float64,14,2.3707115521387204e-05,RARE
V24,float64,14,2.3707115521387204e-05,RARE
V23,float64,14,2.3707115521387204e-05,RARE
V124,float64,14,2.3707115521387204e-05,RARE
V125,float64,14,2.3707115521387204e-05,RARE
V98,float64,13,2.2013750127002405e-05,RARE
V26,float64,13,2.2013750127002405e-05,RARE
V284,float64,13,2.2013750127002405e-05,RARE
V289,float64,13,2.2013750127002405e-05,RARE
V297,float64,13,2.2013750127002405e-05,RARE
V325,float64,13,2.2013750127002405e-05,RARE
V34,float64,13,2.2013750127002405e-05,RARE
V300,float64,12,2.0320384732617603e-05,RARE
id_24,float64,12,2.0320384732617603e-05,RARE
V62,float64,11,1.8627019338232804e-05,RARE
V288,float64,11,1.8627019338232804e-05,RARE
V58,float64,11,1.8627019338232804e-05,RARE
V72,float64,11,1.8627019338232804e-05,RARE
V111,float64,10,1.6933653943848005e-05,RARE
V6,float64,10,1.6933653943848005e-05,RARE
V142,float64,10,1.6933653943848005e-05,RARE
V112,float64,10,1.6933653943848005e-05,RARE
V3,float64,10,1.6933653943848005e-05,RARE
V113,float64,10,1.6933653943848005e-05,RARE
V7,float64,10,1.6933653943848005e-05,RARE
V22,float64,9,1.5240288549463203e-05,RARE
V2,float64,9,1.5240288549463203e-05,RARE
V9,float64,9,1.5240288549463203e-05,RARE
V8,float64,9,1.5240288549463203e-05,RARE
V47,float64,9,1.5240288549463203e-05,RARE
V52,float64,9,1.5240288549463203e-05,RARE
V42,float64,9,1.5240288549463203e-05,RARE
V43,float64,9,1.5240288549463203e-05,RARE
V67,float64,9,1.5240288549463203e-05,RARE
V74,float64,9,1.5240288549463203e-05,RARE
V174,float64,9,1.5240288549463203e-05,RARE
V260,float64,9,1.5240288549463203e-05,RARE
V286,float64,9,1.5240288549463203e-05,RARE
V93,float64,8,1.3546923155078402e-05,RARE
V31,float64,8,1.3546923155078402e-05,RARE
V92,float64,8,1.3546923155078402e-05,RARE
V85,float64,8,1.3546923155078402e-05,RARE
V84,float64,8,1.3546923155078402e-05,RARE
V173,float64,8,1.3546923155078402e-05,RARE
V194,float64,8,1.3546923155078402e-05,RARE
V66,float64,8,1.3546923155078402e-05,RARE
V83,float64,8,1.3546923155078402e-05,RARE
V82,float64,8,1.3546923155078402e-05,RARE
V79,float64,8,1.3546923155078402e-05,RARE
V19,float64,8,1.3546923155078402e-05,RARE
V109,float64,8,1.3546923155078402e-05,RARE
V108,float64,8,1.3546923155078402e-05,RARE
V30,float64,8,1.3546923155078402e-05,RARE
V15,float64,8,1.3546923155078402e-05,RARE
V110,float64,8,1.3546923155078402e-05,RARE
V64,float64,8,1.3546923155078402e-05,RARE
V63,float64,8,1.3546923155078402e-05,RARE
V73,float64,8,1.3546923155078402e-05,RARE
V54,float64,7,1.1853557760693602e-05,RARE
V46,float64,7,1.1853557760693602e-05,RARE
V114,float64,7,1.1853557760693602e-05,RARE
V115,float64,7,1.1853557760693602e-05,RARE
V51,float64,7,1.1853557760693602e-05,RARE
V4,float64,7,1.1853557760693602e-05,RARE
V5,float64,7,1.1853557760693602e-05,RARE
V70,float64,7,1.1853557760693602e-05,RARE
V76,float64,7,1.1853557760693602e-05,RARE
V61,float64,7,1.1853557760693602e-05,RARE
V71,float64,7,1.1853557760693602e-05,RARE
V91,float64,7,1.1853557760693602e-05,RARE
V116,float64,7,1.1853557760693602e-05,RARE
V25,float64,7,1.1853557760693602e-05,RARE
V13,float64,7,1.1853557760693602e-05,RARE
V33,float64,7,1.1853557760693602e-05,RARE
V57,float64,7,1.1853557760693602e-05,RARE
V36,float64,6,1.0160192366308801e-05,RARE
V49,float64,6,1.0160192366308801e-05,RARE
V29,float64,6,1.0160192366308801e-05,RARE
V90,float64,6,1.0160192366308801e-05,RARE
V69,float64,6,1.0160192366308801e-05,RARE
V141,float64,6,1.0160192366308801e-05,RARE
V11,float64,6,1.0160192366308801e-05,RARE
V21,float64,6,1.0160192366308801e-05,RARE
V50,float64,6,1.0160192366308801e-05,RARE
V48,float64,6,1.0160192366308801e-05,RARE
V240,float64,6,1.0160192366308801e-05,RARE
V53,float64,6,1.0160192366308801e-05,RARE
V241,float64,5,8.466826971924002e-06,RARE
ProductCD,str,5,8.466826971924002e-06,RARE
V75,float64,5,8.466826971924002e-06,RARE
V10,float64,5,8.466826971924002e-06,RARE
card4,str,4,6.773461577539201e-06,RARE
id_32,float64,4,6.773461577539201e-06,RARE
id_34,str,4,6.773461577539201e-06,RARE
card6,str,4,6.773461577539201e-06,RARE
V28,float64,4,6.773461577539201e-06,RARE
V122,float64,4,6.773461577539201e-06,RARE
V119,float64,4,6.773461577539201e-06,RARE
V121,float64,4,6.773461577539201e-06,RARE
V120,float64,4,6.773461577539201e-06,RARE
V35,float64,4,6.773461577539201e-06,RARE
V118,float64,4,6.773461577539201e-06,RARE
V12,float64,4,6.773461577539201e-06,RARE
V27,float64,4,6.773461577539201e-06,RARE
V117,float64,4,6.773461577539201e-06,RARE
id_15,str,3,5.080096183154401e-06,RARE
id_23,str,3,5.080096183154401e-06,RARE
V94,float64,3,5.080096183154401e-06,RARE
V68,float64,3,5.080096183154401e-06,RARE
V89,float64,3,5.080096183154401e-06,RARE
M4,str,3,5.080096183154401e-06,RARE
id_35,str,2,3.3867307887696006e-06,RARE
id_38,str,2,3.3867307887696006e-06,RARE
M1,str,2,3.3867307887696006e-06,RARE
id_36,str,2,3.3867307887696006e-06,RARE
M2,str,2,3.3867307887696006e-06,RARE
id_12,str,2,3.3867307887696006e-06,RARE
M3,str,2,3.3867307887696006e-06,RARE
id_28,str,2,3.3867307887696006e-06,RARE
id_27,str,2,3.3867307887696006e-06,RARE
id_29,str,2,3.3867307887696006e-06,RARE
V65,float64,2,3.3867307887696006e-06,RARE
V88,float64,2,3.3867307887696006e-06,RARE
id_37,str,2,3.3867307887696006e-06,RARE
V107,float64,2,3.3867307887696006e-06,RARE
V41,float64,2,3.3867307887696006e-06,RARE
V14,float64,2,3.3867307887696006e-06,RARE
isFraud,int64,2,3.3867307887696006e-06,RARE
V305,float64,2,3.3867307887696006e-06,RARE
DeviceType,str,2,3.3867307887696006e-06,RARE
M5,str,2,3.3867307887696006e-06,RARE
M9,str,2,3.3867307887696006e-06,RARE
M8,str,2,3.3867307887696006e-06,RARE
M6,str,2,3.3867307887696006e-06,RARE
V1,float64,2,3.3867307887696006e-06,RARE
M7,str,2,3.3867307887696006e-06,RARE
id_16,str,2,3.3867307887696006e-06,RARE
